VIDEO,ANIMAL 1,ANIMAL 2,ANIMAL 2 KEYPOINT,MEASUREMENT,VALUE
termites_test,Animal_4,Animal_1,Tail,INTERACTION TIME (s),1.1667
termites_test,Animal_4,Animal_3,None,INTERACTION TIME (s),10.8333
termites_test,Animal_4,Animal_3,Abdomen,INTERACTION TIME (s),0.8333
termites_test,Animal_4,Animal_3,Head,INTERACTION TIME (s),0.7
termites_test,Animal_4,Animal_3,Tail,INTERACTION TIME (s),0.4333
termites_test,Animal_4,Animal_3,Thorax,INTERACTION TIME (s),0.9333
termites_test,Animal_4,Animal_5,None,INTERACTION TIME (s),1.9667
termites_test,Animal_4,Animal_5,Head,INTERACTION TIME (s),0.1333
termites_test,Animal_5,Animal_2,None,INTERACTION TIME (s),4.0
termites_test,Animal_5,Animal_2,Abdomen,INTERACTION TIME (s),0.1
termites_test,Animal_5,Animal_2,Head,INTERACTION TIME (s),1.8667
termites_test,Animal_5,Animal_2,Tail,INTERACTION TIME (s),0.7333
termites_test,Animal_5,Animal_2,Thorax,INTERACTION TIME (s),0.6667
termites_test,Animal_5,Animal_4,None,INTERACTION TIME (s),1.9667
termites_test,Animal_5,Animal_4,Head,INTERACTION TIME (s),0.1333
