,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
329,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,526.0666667,527.5666667,15782,15826,1.5
330,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,527.6666667,528.6,15830,15857,0.933333333
331,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,528.7333333,529.8333333,15862,15894,1.1
332,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,530,542.1,15900,16262,12.1
333,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,546.3,548.7666667,16389,16462,2.466666667
334,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,548.8333333,549.1666667,16465,16474,0.333333333
335,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,549.5333333,549.6333333,16486,16488,0.1
336,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,549.6666667,549.7333333,16490,16491,0.066666667
337,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,549.9666667,550.4666667,16499,16513,0.5
338,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,550.5,550.8666667,16515,16525,0.366666667
339,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,551.8666667,554.7666667,16556,16642,2.9
340,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,555.1666667,555.2666667,16655,16657,0.1
341,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,555.4666667,555.5333333,16664,16665,0.066666667
342,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,555.6333333,567.1,16669,17012,11.46666667
343,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,570.0333333,650.9,17101,19526,80.86666667
344,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,664.9333333,667.8666667,19948,20035,2.933333333
345,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,667.9666667,668.4666667,20039,20053,0.5
346,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,668.8333333,669.8,20065,20093,0.966666667
347,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,673.8,677.9666667,20214,20338,4.166666667
348,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,678.1,678.2666667,20343,20347,0.166666667
349,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,678.4,680.1,20352,20402,1.7
350,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,680.1666667,680.3,20405,20408,0.133333333
351,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,680.5,681.5,20415,20444,1
352,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,681.7666667,685.3666667,20453,20560,3.6
353,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,685.6,687.1666667,20568,20614,1.566666667
354,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,687.3,688.5,20619,20654,1.2
355,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,693.6666667,693.9,20810,20816,0.233333333
356,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,694.2,694.4,20826,20831,0.2
357,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,735.4333333,735.5333333,22063,22065,0.1
358,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,743.3666667,744.5,22301,22334,1.133333333
359,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,746.8666667,746.9333333,22406,22407,0.066666667
360,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,746.9666667,756.7333333,22409,22701,9.766666667
361,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,758.5,758.6666667,22755,22759,0.166666667
362,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,758.7,759.9,22761,22796,1.2
363,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,760.2666667,760.4333333,22808,22812,0.166666667
364,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,760.7333333,760.9,22822,22826,0.166666667
365,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,770.7,770.8,23121,23123,0.1
366,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,771.0333333,772.9666667,23131,23188,1.933333333
367,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,795.3,795.3333333,23859,23859,0.033333333
368,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,813.6666667,814.4333333,24410,24432,0.766666667
369,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,814.4666667,891.3666667,24434,26740,76.9
370,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,891.4,899.9666667,26742,26998,8.566666667
371,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,900.1,900.4,27003,27011,0.3
372,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,900.4666667,900.5333333,27014,27015,0.066666667
373,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,900.7666667,900.8333333,27023,27024,0.066666667
374,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,900.9,915.8333333,27027,27474,14.93333333
375,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,916.1,950.2666667,27483,28507,34.16666667
376,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,950.3,969.5,28509,29084,19.2
377,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,969.5666667,973.8,29087,29213,4.233333333
378,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,974.2333333,975.9666667,29227,29278,1.733333333
379,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1140.933333,1141.1,34228,34232,0.166666667
380,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1145.9,1146,34377,34379,0.1
381,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1149.933333,1150.4,34498,34511,0.466666667
382,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1150.5,1150.566667,34515,34516,0.066666667
383,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1150.633333,1152.066667,34519,34561,1.433333333
384,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1152.1,1156.533333,34563,34695,4.433333333
385,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1156.6,1156.666667,34698,34699,0.066666667
386,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1156.8,1156.833333,34704,34704,0.033333333
387,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1158.333333,1161.166667,34750,34834,2.833333333
388,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1161.966667,1162.666667,34859,34879,0.7
389,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1162.9,1173.966667,34887,35218,11.06666667
390,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1174.033333,1177.866667,35221,35335,3.833333333
391,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1179.166667,1179.8,35375,35393,0.633333333
392,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1180,1180.166667,35400,35404,0.166666667
393,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1180.6,1180.666667,35418,35419,0.066666667
394,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1180.733333,1180.8,35422,35423,0.066666667
395,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1180.833333,1180.9,35425,35426,0.066666667
396,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1181.2,1181.3,35436,35438,0.1
397,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1181.333333,1181.466667,35440,35443,0.133333333
398,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1181.633333,1181.666667,35449,35449,0.033333333
399,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1184.5,1184.6,35535,35537,0.1
400,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1184.633333,1184.7,35539,35540,0.066666667
401,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1186.733333,1186.766667,35602,35602,0.033333333
402,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1186.9,1187,35607,35609,0.1
403,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1187.066667,1188.766667,35612,35662,1.7
404,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1188.933333,1189.233333,35668,35676,0.3
405,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1189.333333,1205.033333,35680,36150,15.7
406,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1205.7,1205.766667,36171,36172,0.066666667
407,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1205.833333,1205.866667,36175,36175,0.033333333
408,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1205.966667,1206.233333,36179,36186,0.266666667
409,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1206.3,1206.4,36189,36191,0.1
410,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1206.466667,1206.566667,36194,36196,0.1
411,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1206.633333,1206.666667,36199,36199,0.033333333
412,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1206.8,1206.966667,36204,36208,0.166666667
413,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1207.233333,1209.6,36217,36287,2.366666667
414,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1209.8,1214.3,36294,36428,4.5
415,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1220.8,1222.433333,36624,36672,1.633333333
416,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1222.466667,1222.566667,36674,36676,0.1
417,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1222.7,1222.933333,36681,36687,0.233333333
418,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1223.033333,1223.066667,36691,36691,0.033333333
419,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1225.166667,1225.766667,36755,36772,0.6
420,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1225.866667,1226,36776,36779,0.133333333
421,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1226.1,1226.166667,36783,36784,0.066666667
422,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1229.066667,1229.1,36872,36872,0.033333333
423,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1229.8,1230.066667,36894,36901,0.266666667
424,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1231.666667,1231.7,36950,36950,0.033333333
425,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,1233.666667,1234.133333,37010,37023,0.466666667
426,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,740,740.3333333,22200,22209,0.333333333
427,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,740.7333333,740.8,22222,22223,0.066666667
428,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,740.9,741.4666667,22227,22243,0.566666667
