,Ear_left_x,Ear_left_y,Ear_left_p,Ear_right_x,Ear_right_y,Ear_right_p,Nose_x,Nose_y,Nose_p,Center_x,Center_y,Center_p,Lat_left_x,Lat_left_y,Lat_left_p,Lat_right_x,Lat_right_y,Lat_right_p,Tail_base_x,Tail_base_y,Tail_base_p,Tail_end_x,Tail_end_y,Tail_end_p,MY_CUE_LIGHT,MY_CUE_LIGHT_INTENSITY
451,440.56305,453,0,468.90842,459.09158,0,467.44662,438.8031,0,505,447.18317,0,503,463,0,509.90842,428,0,552.75995,455,0,630.09155,473,0,1,134.0374116
452,440.68668,453,0,468.8031,459.10535,0,467.3413,438.90842,0,505,447.1969,0,503,463,0,509.8031,428,0,552.77826,455,0,630,473,0,1,133.9413585
453,440.8031,453,0,468.68668,459.20798,0,467.24002,439,0,505,447.31332,0,503,463,0,509.68668,428,0,552.8031,455,0,630.09155,473,0,1,133.9695502
454,440.90842,453,0,468.56305,459.32053,0,467.22174,439,0,505,447.34537,0,503,463,0,509.56305,428,0,552.90845,455,0,630.1969,473,0,1,133.9692387
455,441,453,0,468.43695,459.43945,0,467.1969,439,0,505,447.36615,0,503,463,0,509.43695,428,0,553,455,0,630.22174,473,0,1,134.0100308
456,441,453,0,468.31332,459.56055,0,467.09158,439,0,505,447.37335,0,503,463,0,509.4049,428,0,553,455,0,630.24005,473,0,1,133.9717253
457,440.90842,453,0,468.1969,459.67947,0,467,439,0,505,447.45773,0,503,463,0,509.30225,428,0,553,455.09158,0,630.24976,473,0,1,133.992527
458,440.8031,453,0,468.09158,459.79202,0,467,439,0,505,447.54227,0,503,463,0,509.20798,428,0,552.90845,455.1969,0,630.24976,473,0,1,133.9922507
459,440.68668,453,0,468,459.89465,0,467,439,0,505,447.5351,0,502.90842,463,0,509.12363,428,0,552.89465,455.31332,0,630.24005,473,0,1,133.9674475
460,440.56305,453,0,468,459.81683,0,467,439,0,505,447.43695,0,502.8031,463,0,509.1261,428,0,552.8836,455.43695,0,630.22174,473,0,1,133.8782154
461,440.43695,453,0,468,459.89465,0,467,439,0,505,447.3413,0,502.68668,463,0,509.12363,428,0,552.8764,455.56305,0,630.1969,473,0,1,133.9428851
462,440.31332,453,0,468,459.88358,0,467,439,0,505,447.24973,0,502.56305,463,0,509.11642,428,0,552.8739,455.68668,0,630.09155,473,0,1,133.9272589
463,440.1969,453,0,468,459.87637,0,467,439,0,505,447.24002,0,502.43695,463,0,509.10535,428,0,552.8764,455.8031,0,630,473,0,1,133.9533492
464,440.09158,453,0,468,459.8739,0,467,439,0,505,447.22174,0,502.4049,463,0,509.09158,428,0,552.8836,455.90842,0,630,473,0,1,133.9542292
465,440,453,0,468,459.87637,0,467,439,0,505,447.1969,0,502.30225,463,0,509,428,0,552.89465,456,0,630,473,0,1,133.9583336
466,440,453,0,468,459.88358,0,467,439,0,505,447.09158,0,502.20798,463,0,509,428,0,552.81683,456,0,630,473,0,1,133.9555205
467,440,453,0,468,459.89465,0,467,439,0,505,447,0,502.12363,463,0,509,428,0,552.8031,456,0,630,473,0,1,134.0611475
468,440,453,0,468,459.90842,0,467,439,0,505,447,0,502.1261,463,0,509,428,0,552.68665,456,0,630,473,0,1,133.9665296
469,440,453,0,468,460,0,467,439,0,505,447,0,502.12363,463,0,509,428,0,552.56305,456,0,630,473,0,1,134.0384349
470,440,453,0,468,460,0,467,439,0,505,447,0,502.20798,463,0,509,428,0,552.43695,456,0,630,473,0,1,133.9985709
471,440,453,0,468,460,0,467,439,0,505,447,0,502.30225,463,0,509,428,0,552.31335,456,0,630,473,0,1,134.0509184
472,440,453,0,468,460,0,467,439,0,505,447,0,502.4049,463,0,509,428,0,552.1969,456,0,630,473,0,1,133.9689803
473,440,453,0,468,460,0,467,439,0,505,447.09158,0,502.43695,463,0,509,428,0,552.09155,456,0,629.90845,473,0,1,133.9504368
474,440,453,0,468,460,0,467,439,0,505,447.1969,0,502.56305,463,0,509,428,0,552,456,0,629.8031,473,0,1,133.9247391
475,440,453,0,468,460,0,467,439,0,505,447.31332,0,502.68668,463,0,509,428,0,552,456,0,629.68665,473,0,1,133.9409938
476,440,453,0,467.90842,460,0,466.90842,439,0,505,447.34537,0,502.8031,463,0,509,428,0,552,455.90842,0,629.56305,473,0,1,133.9201572
477,440,453,0,467.8031,460,0,466.8031,439,0,505,447.36615,0,502.90842,463,0,509,428,0,552,455.8031,0,629.43695,473,0,1,133.9017888
478,440,453,0,467.68668,460,0,466.68668,439,0,505,447.37335,0,503,463,0,509,428,0,552,455.68668,0,629.31335,473,0,1,133.8956269
479,440,453,0,467.65463,460,0,466.56305,439,0,505,447.36615,0,503,463,0,509,428,0,552,455.56305,0,629.10535,473,0,1,134.0138013
480,440,453,0,467.63385,460,0,466.43695,439,0,505,447.34537,0,503,463,0,509,428,0,552,455.43695,0,628.89465,473,0,1,133.9343417
481,440,453,0,467.62665,460,0,466.31332,439,0,505,447.31332,0,503,463,0,509,428,0,552,455.31332,0,628.68665,473,0,1,133.9384159
482,440,453,0,467.63385,460,0,466.28848,439,0,505,447.1969,0,503,463,0,509,428,0,552,455.1969,0,628.56305,473,0,1,133.9280994
483,440,453,0,467.65463,460,0,466.28848,439,0,505,447.09158,0,503,463,0,509,428,0,552,455.09158,0,628.3454,473,0,1,133.9561842
484,440.09158,453,0,467.68668,460,0,466.31332,439,0,505,447,0,503,463,0,509,428,0,552,455,0,628.1164,473,0,1,133.8923954
485,440.10535,453,0,467.8031,460,0,466.43695,439,0,505,447,0,503,463,0,509,428,0,552,455.09158,0,627.8836,473,0,1,133.9174663
486,440.11642,453,0,467.90842,460,0,466.56305,439,0,505,447,0,503,463,0,509,428,0,552,455.1969,0,627.6546,473,0,1,133.9209407
487,440.12363,453,0,468,460,0,466.68668,439,0,505,447,0,503,463,0,509,428.09158,0,552,455.22174,0,627.43695,473,0,1,133.8859961
488,440.1261,453,0,468,460,0,466.71152,439,0,505,447,0,503,463,0,509,428.10535,0,552,455.24002,0,627.31335,473,0,1,133.8668043
489,440.12363,453,0,468,460,0,466.71152,439,0,505,447,0,503,463,0,509,428.11642,0,552,455.24973,0,627.1969,473,0,1,133.8748361
490,440.11642,453,0,468,460,0,466.68668,439,0,505,447,0,503,463,0,509,428.12363,0,552,455.24973,0,627.09155,473,0,1,133.8663458
491,440.10535,453,0,468,460,0,466.56305,439,0,505,447,0,503,463,0,509,428.1261,0,552,455.24002,0,627,473,0,1,133.876195
492,440.09158,453,0,468,460,0,466.43695,439,0,505,447,0,503,463,0,509,428.12363,0,552,455.22174,0,627,473,0,1,133.8502251
493,440,453,0,468,460,0,466.31332,439,0,505,447,0,503,463,0,509,428.11642,0,552,455.1969,0,627,472.90842,0,1,133.9243573
494,440,453,0,468,460,0,466.28848,439,0,505,447,0,503,463,0,509,428.10535,0,552,455.18317,0,627,472.8031,0,1,133.9193117
495,440,453,0,468,460,0,466.28848,439,0,505,447,0,503,463,0,509,428.09158,0,552,455.1969,0,627,472.68668,0,1,133.9246385
496,440.09158,453,0,467.90842,460,0,466.22174,438.90842,0,505,447,0,503,463,0,509,428,0,552,455.22174,0,627,472.65463,0,1,133.9335482
497,440.1969,453,0,467.8031,460,0,466.24002,438.8031,0,505,447,0,503,463,0,509,428,0,552,455.24002,0,627,472.63385,0,1,133.9746796
498,440.31332,453,0,467.68668,460,0,466.24973,438.68668,0,505,447,0,503,463,0,509,428,0,552,455.24973,0,626.90845,472.62665,0,1,133.9768785
499,440.43695,453,0,467.56305,460,0,466.24973,438.56305,0,505,447,0,503,463,0,509,428,0,552,455.24973,0,626.89465,472.63385,0,1,133.9768785
500,440.56305,453,0,467.43695,460,0,466.24002,438.43695,0,505,447,0,503,463,0,509,428,0,552,455.24002,0,626.8836,472.65463,0,1,134.0360973
501,440.68668,453,0,467.31332,460,0,466.22174,438.31332,0,505,447,0,503,463,0,509,428,0,552,455.22174,0,626.8764,472.68668,0,1,134.0360973
502,440.8031,453,0,467.1969,460,0,466.1969,438.1969,0,505,447,0,503,463,0,509,428,0,552,455.1969,0,626.8739,472.8031,0,1,134.0360973
503,440.90842,453,0,467.09158,460,0,466.09158,438.09158,0,505,447,0,503,463,0,509,428,0,552.09155,455.09158,0,626.8764,472.90842,0,1,134.0501628
504,441,453,0,467,460,0,466,438,0,505,447,0,503,463,0,509,428,0,552.1969,455,0,626.8836,473,0,1,134.0191048
505,441,453,0,467,460,0,466,438,0,505,447,0,503,463,0,509,428,0,552.22174,455,0,626.98627,473,0,1,134.0353583
506,441,453,0,467,460,0,466,438.09158,0,505,447,0,503,463,0,509,428,0,552.24005,455,0,627.01373,473,0,1,134.0341703
