VIDEO,TIME BIN #,ANIMAL,BODY-PART,MEASUREMENT,VALUE
Together_1,61,Animal_1,Nose_1,Velocity (cm/s),4.4763
Together_1,62,Animal_1,Nose_1,Movement (cm),6.8776
Together_1,62,Animal_1,Nose_1,Velocity (cm/s),13.7551
Together_1,63,Animal_1,Nose_1,Movement (cm),2.2642
Together_1,63,Animal_1,Nose_1,Velocity (cm/s),4.5285
Together_1,64,Animal_1,Nose_1,Movement (cm),5.4807
Together_1,64,Animal_1,Nose_1,Velocity (cm/s),10.9614
Together_1,65,Animal_1,Nose_1,Movement (cm),8.8412
Together_1,65,Animal_1,Nose_1,Velocity (cm/s),17.6824
Together_1,66,Animal_1,Nose_1,Movement (cm),10.7649
Together_1,66,Animal_1,Nose_1,Velocity (cm/s),21.5299
Together_1,67,Animal_1,Nose_1,Movement (cm),13.9934
Together_1,67,Animal_1,Nose_1,Velocity (cm/s),27.9869
Together_1,68,Animal_1,Nose_1,Movement (cm),4.5433
Together_1,68,Animal_1,Nose_1,Velocity (cm/s),9.0866
Together_1,69,Animal_1,Nose_1,Movement (cm),2.4503
Together_1,69,Animal_1,Nose_1,Velocity (cm/s),4.9006
Together_1,70,Animal_1,Nose_1,Movement (cm),3.3455
Together_1,70,Animal_1,Nose_1,Velocity (cm/s),6.6911
Together_1,71,Animal_1,Nose_1,Movement (cm),2.0662
Together_1,71,Animal_1,Nose_1,Velocity (cm/s),4.1324
Together_1,72,Animal_1,Nose_1,Movement (cm),2.8339
Together_1,72,Animal_1,Nose_1,Velocity (cm/s),5.6679
Together_1,73,Animal_1,Nose_1,Movement (cm),3.0805
Together_1,73,Animal_1,Nose_1,Velocity (cm/s),6.1609
Together_1,74,Animal_1,Nose_1,Movement (cm),2.7801
Together_1,74,Animal_1,Nose_1,Velocity (cm/s),5.5603
Together_1,75,Animal_1,Nose_1,Movement (cm),4.2212
Together_1,75,Animal_1,Nose_1,Velocity (cm/s),8.4424
Together_1,76,Animal_1,Nose_1,Movement (cm),10.9468
Together_1,76,Animal_1,Nose_1,Velocity (cm/s),21.8935
Together_1,77,Animal_1,Nose_1,Movement (cm),9.9108
Together_1,77,Animal_1,Nose_1,Velocity (cm/s),19.8216
Together_1,78,Animal_1,Nose_1,Movement (cm),1.5592
Together_1,78,Animal_1,Nose_1,Velocity (cm/s),3.1184
Together_1,79,Animal_1,Nose_1,Movement (cm),10.757
Together_1,79,Animal_1,Nose_1,Velocity (cm/s),21.5139
