VIDEO,ANIMAL 1,ANIMAL 2,ANIMAL 2 KEYPOINT,MEASUREMENT,VALUE
My_termites_video_1,Animal_4,Animal_3,None,INTERACTION BOUT COUNT,11
My_termites_video_1,Animal_4,Animal_3,Abdomen,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_4,Animal_3,Head,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_4,Animal_3,Tail,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_4,Animal_3,Thorax,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_4,Animal_3,None,INTERACTION TIME (s),10.8333
My_termites_video_1,Animal_4,Animal_3,Abdomen,INTERACTION TIME (s),0.8333
My_termites_video_1,Animal_4,Animal_3,Head,INTERACTION TIME (s),0.7
My_termites_video_1,Animal_4,Animal_3,Tail,INTERACTION TIME (s),0.4333
My_termites_video_1,Animal_4,Animal_3,Thorax,INTERACTION TIME (s),0.9333
My_termites_video_1,Animal_4,Animal_5,None,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_4,Animal_5,Head,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_4,Animal_5,None,INTERACTION TIME (s),1.9667
My_termites_video_1,Animal_4,Animal_5,Head,INTERACTION TIME (s),0.1333
My_termites_video_1,Animal_5,Animal_2,None,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_5,Animal_2,Abdomen,INTERACTION BOUT COUNT,3
My_termites_video_1,Animal_5,Animal_2,Head,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_5,Animal_2,Tail,INTERACTION BOUT COUNT,4
My_termites_video_1,Animal_5,Animal_2,Thorax,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_5,Animal_2,None,INTERACTION TIME (s),4
My_termites_video_1,Animal_5,Animal_2,Abdomen,INTERACTION TIME (s),0.1
My_termites_video_1,Animal_5,Animal_2,Head,INTERACTION TIME (s),1.8667
My_termites_video_1,Animal_5,Animal_2,Tail,INTERACTION TIME (s),0.7333
My_termites_video_1,Animal_5,Animal_2,Thorax,INTERACTION TIME (s),0.6667
My_termites_video_1,Animal_5,Animal_4,None,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_5,Animal_4,Head,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_5,Animal_4,None,INTERACTION TIME (s),1.9667
My_termites_video_1,Animal_5,Animal_4,Head,INTERACTION TIME (s),0.1333
