issue_id,author,title,commenter_usernames,comment_count,unique_commenter_count,link,issue_post_date,last_comment_date
355,Jsn-zhang,SIMBA Crashing on V 1.89.4 when using GPU to Downsample Videos,[],1,1,https://github.com/sgoldenlab/simba/issues/355,2024-04-16T00:15:00Z,
354,beepboop174,Error when creating Validation video [out#0/mp4 @ 00000294EB792500] ,[],22,1,https://github.com/sgoldenlab/simba/issues/354,2024-04-04T09:03:19Z,
353,MohamedAlyEbraheemZahran,SIMBA INDEX WARNING: Some frames appears to be missing in the dataframe,[],22,1,https://github.com/sgoldenlab/simba/issues/353,2024-03-22T00:31:13Z,
351,xktz89,"""Feature number mismatch error"" when analyzing new videos with a machine model ",[],3,1,https://github.com/sgoldenlab/simba/issues/351,2024-03-20T21:21:39Z,
349,Monica9577,Spontaneous alternation test,[],24,1,https://github.com/sgoldenlab/simba/issues/349,2024-03-19T11:55:11Z,
348,heiley8181,Unable to Start Simba GUI,[],31,1,https://github.com/sgoldenlab/simba/issues/348,2024-03-19T07:43:33Z,
347,DanaeNikol,ROI analysis feature extraction ,[],28,1,https://github.com/sgoldenlab/simba/issues/347,2024-03-12T10:59:03Z,
346,drish-soneja,Error during user defined Project Configuration for custom multi-animal tracking,[],11,1,https://github.com/sgoldenlab/simba/issues/346,2024-03-04T17:33:49Z,
339,Maroca5,outliers correction ,[],29,1,https://github.com/sgoldenlab/simba/issues/339,2024-02-29T16:31:50Z,
338,Monica9577,Error in model evaluation,[],5,1,https://github.com/sgoldenlab/simba/issues/338,2024-02-24T18:25:15Z,
337,DanaeNikol,ROI analysis - not possible ROI definition,[],9,1,https://github.com/sgoldenlab/simba/issues/337,2024-02-24T14:04:54Z,
336,DanaeNikol,Outlier Correction - Location,[],6,1,https://github.com/sgoldenlab/simba/issues/336,2024-02-22T13:24:49Z,
335,Monica9577,Selective ROI request,[],5,1,https://github.com/sgoldenlab/simba/issues/335,2024-02-22T00:38:03Z,
334,Monica9577,error when in creating animal direction to body part videos,[],3,1,https://github.com/sgoldenlab/simba/issues/334,2024-02-21T16:48:33Z,
333,Monica9577,Impossible to create 2 animal trackplots,[],2,1,https://github.com/sgoldenlab/simba/issues/333,2024-02-21T13:10:33Z,
332,Monica9577,Impossible to create ROI analysis,[],6,1,https://github.com/sgoldenlab/simba/issues/332,2024-02-21T01:16:26Z,
331,Monica9577,Creation configuration project problem,[],9,1,https://github.com/sgoldenlab/simba/issues/331,2024-02-15T21:51:44Z,
328,rjd55,MetaKeys ImportError,[],3,1,https://github.com/sgoldenlab/simba/issues/328,2024-02-06T21:01:43Z,
327,olivialaw,Analyze Machine Predictions: Aggregate for Three Animals,[],1,1,https://github.com/sgoldenlab/simba/issues/327,2024-02-06T01:11:37Z,
323,rnrpereira,Can´t pickle_thread.RLocj objects error while Creating Location Heatmaps,[],5,1,https://github.com/sgoldenlab/simba/issues/323,2024-01-24T22:41:39Z,
320,yampants,Identify Behavior Screen Opens as Blank,[],3,1,https://github.com/sgoldenlab/simba/issues/320,2024-01-22T17:53:25Z,
319,charliev99,reciprocal directionality between animals #2,[],2,1,https://github.com/sgoldenlab/simba/issues/319,2024-01-19T19:09:07Z,
318,filos93,reciprocal directionality between animals,[],2,1,https://github.com/sgoldenlab/simba/issues/318,2024-01-17T14:02:35Z,
316,ZelikowskyLab,moved body points,[],3,1,https://github.com/sgoldenlab/simba/issues/316,2023-12-19T22:57:32Z,
309,IsabelleSajonia,Path plots,[],4,1,https://github.com/sgoldenlab/simba/issues/309,2023-11-28T21:55:28Z,
307,IsabelleSajonia,Total distance traveled and velocity,[],6,1,https://github.com/sgoldenlab/simba/issues/307,2023-11-03T19:43:47Z,
306,IsabelleSajonia,Error when correcting outliers,[],2,1,https://github.com/sgoldenlab/simba/issues/306,2023-11-02T21:31:07Z,
305,neurorie,Visualising ROI not working,[],3,1,https://github.com/sgoldenlab/simba/issues/305,2023-11-02T09:14:58Z,
303,linab8,Outlier correction - movement,[],23,1,https://github.com/sgoldenlab/simba/issues/303,2023-10-27T17:23:12Z,
