VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
502_MA141_Gi_Saline_0517,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),7.122901974264826
502_MA141_Gi_Saline_0517,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),1.7333333333333334
502_MA141_Gi_Saline_0517,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),1.6929197164521508
502_MA141_Gi_Saline_0517,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),257.8
502_MA141_Gi_Saline_0517,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),1202.0
502_MA141_Gi_Saline_0517,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),0.5807017543859649
502_MA141_Gi_Saline_0517,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),19.0
502_MA141_Gi_Saline_0517,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),11.550270465441743
502_MA141_Gi_Saline_0517,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),11.033333333333333
502_MA141_Gi_Saline_0517,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),3.106126507024806
502_MA141_Gi_Saline_0517,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),289.0
502_MA141_Gi_Saline_0517,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),311.76666666666665
502_MA141_Gi_Saline_0517,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),2.1083333333333334
502_MA141_Gi_Saline_0517,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),4.0
502_MA141_Gi_Saline_0517,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),23.705056578063058
502_MA141_Gi_Saline_0517,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),8.433333333333334
503_MA109_Gi_CNO_0514,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),5.719425425355874
503_MA109_Gi_CNO_0514,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),8.0
503_MA109_Gi_CNO_0514,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),1062.1666666666667
503_MA109_Gi_CNO_0514,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),1.27
503_MA109_Gi_CNO_0514,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),10.0
503_MA109_Gi_CNO_0514,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),68.23218563191377
503_MA109_Gi_CNO_0514,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),12.700000000000001
503_MA109_Gi_CNO_0514,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),1.4242363455146176
503_MA109_Gi_CNO_0514,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),23.666666666666668
503_MA109_Gi_CNO_0514,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),1191.2
503_MA109_Gi_CNO_0514,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),4.774945533769063
503_MA109_Gi_CNO_0514,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),153.0
503_MA109_Gi_CNO_0514,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),535.7206139179194
503_MA109_Gi_CNO_0514,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),730.5666666666667
503_MA109_Gi_CNO_0514,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),3.5867883136839285
503_MA109_Gi_CNO_0514,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),2.3666666666666667
503_MA109_Gi_CNO_0514,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),1084.3333333333333
