,Feature_name,Feature_importance
198,Mouse1_smallest_euclid_distances_mean_5 Importance,0.0
199,Mouse1_smallest_euclid_distances_sum_5 Importance,0.0
200,Mouse1_smallest_euclid_distances_median_6 Importance,0.0
201,Mouse1_smallest_euclid_distances_mean_6 Importance,0.0
202,Mouse1_smallest_euclid_distances_sum_6 Importance,0.0
203,Mouse1_smallest_euclid_distances_median_7.5 Importance,0.0
204,Mouse1_smallest_euclid_distances_mean_7.5 Importance,0.0
205,Mouse1_smallest_euclid_distances_sum_7.5 Importance,0.0
206,Mouse1_smallest_euclid_distances_median_15 Importance,0.0
207,Mouse1_smallest_euclid_distances_mean_15 Importance,0.0
208,Mouse1_smallest_euclid_distances_sum_15 Importance,0.0
209,Mouse2_smallest_euclid_distances_median_2 Importance,0.0
210,Mouse2_smallest_euclid_distances_mean_2 Importance,0.0
211,Mouse2_smallest_euclid_distances_sum_2 Importance,0.0
212,Mouse2_smallest_euclid_distances_median_5 Importance,0.0
213,Mouse2_smallest_euclid_distances_mean_5 Importance,0.0
214,Mouse2_smallest_euclid_distances_sum_5 Importance,0.0
215,Mouse2_smallest_euclid_distances_median_6 Importance,0.0
216,Mouse2_smallest_euclid_distances_mean_6 Importance,0.0
217,Mouse2_smallest_euclid_distances_sum_6 Importance,0.0
218,Mouse2_smallest_euclid_distances_median_7.5 Importance,0.0
219,Mouse2_smallest_euclid_distances_mean_7.5 Importance,0.0
220,Mouse2_smallest_euclid_distances_sum_7.5 Importance,0.0
221,Mouse2_smallest_euclid_distances_median_15 Importance,0.0
222,Mouse2_smallest_euclid_distances_mean_15 Importance,0.0
223,Mouse2_smallest_euclid_distances_sum_15 Importance,0.0
224,Mouse1_largest_euclid_distances_median_2 Importance,0.0
225,Mouse1_largest_euclid_distances_mean_2 Importance,0.0
226,Mouse1_largest_euclid_distances_sum_2 Importance,0.0
227,Mouse1_largest_euclid_distances_median_5 Importance,0.0
228,Mouse1_largest_euclid_distances_mean_5 Importance,0.0
229,Mouse1_largest_euclid_distances_sum_5 Importance,0.0
230,Mouse1_largest_euclid_distances_median_6 Importance,0.0
231,Mouse1_largest_euclid_distances_mean_6 Importance,0.0
232,Mouse1_largest_euclid_distances_sum_6 Importance,0.0
233,Mouse1_largest_euclid_distances_median_7.5 Importance,0.0
234,Mouse1_largest_euclid_distances_mean_7.5 Importance,0.0
235,Mouse1_largest_euclid_distances_sum_7.5 Importance,0.0
236,Mouse1_largest_euclid_distances_median_15 Importance,0.0
237,Mouse1_largest_euclid_distances_mean_15 Importance,0.0
238,Mouse1_largest_euclid_distances_sum_15 Importance,0.0
239,Mouse2_largest_euclid_distances_median_2 Importance,0.0
240,Mouse2_largest_euclid_distances_mean_2 Importance,0.0
241,Mouse2_largest_euclid_distances_sum_2 Importance,0.0
242,Mouse2_largest_euclid_distances_median_5 Importance,0.0
243,Mouse2_largest_euclid_distances_mean_5 Importance,0.0
244,Mouse2_largest_euclid_distances_sum_5 Importance,0.0
245,Mouse2_largest_euclid_distances_median_6 Importance,0.0
246,Mouse2_largest_euclid_distances_mean_6 Importance,0.0
247,Mouse2_largest_euclid_distances_sum_6 Importance,0.0
248,Mouse2_largest_euclid_distances_median_7.5 Importance,0.0
249,Mouse2_largest_euclid_distances_mean_7.5 Importance,0.0
250,Mouse2_largest_euclid_distances_sum_7.5 Importance,0.0
251,Mouse2_largest_euclid_distances_median_15 Importance,0.0
252,Mouse2_largest_euclid_distances_mean_15 Importance,0.0
253,Mouse2_largest_euclid_distances_sum_15 Importance,0.0
254,Total_movement_all_bodyparts_both_mice_median_2 Importance,0.0
255,Total_movement_all_bodyparts_both_mice_mean_2 Importance,0.0
256,Total_movement_all_bodyparts_both_mice_sum_2 Importance,0.0
257,Total_movement_all_bodyparts_both_mice_median_5 Importance,0.0
258,Total_movement_all_bodyparts_both_mice_mean_5 Importance,0.0
259,Total_movement_all_bodyparts_both_mice_sum_5 Importance,0.0
260,Total_movement_all_bodyparts_both_mice_median_6 Importance,0.0
261,Total_movement_all_bodyparts_both_mice_mean_6 Importance,0.0
262,Total_movement_all_bodyparts_both_mice_sum_6 Importance,0.0
263,Total_movement_all_bodyparts_both_mice_median_7.5 Importance,0.0
264,Total_movement_all_bodyparts_both_mice_mean_7.5 Importance,0.0
265,Total_movement_all_bodyparts_both_mice_sum_7.5 Importance,0.0
266,Total_movement_all_bodyparts_both_mice_median_15 Importance,0.0
267,Total_movement_all_bodyparts_both_mice_mean_15 Importance,0.0
268,Total_movement_all_bodyparts_both_mice_sum_15 Importance,0.0
269,Total_movement_centroids_median_5 Importance,0.0
270,Total_movement_centroids_median_6 Importance,0.0
271,Total_movement_centroids_mean_6 Importance,0.0
272,Total_movement_centroids_sum_6 Importance,0.0
273,Total_movement_centroids_median_7.5 Importance,0.0
274,Total_movement_centroids_mean_7.5 Importance,0.0
275,Total_movement_centroids_sum_7.5 Importance,0.0
276,Total_movement_centroids_median_15 Importance,0.0
277,Total_movement_centroids_mean_15 Importance,0.0
278,Total_movement_centroids_sum_15 Importance,0.0
279,Tail_base_movement_M1_median_2 Importance,0.0
280,Tail_base_movement_M1_sum_2 Importance,0.0
281,Tail_base_movement_M1_median_5 Importance,0.0
282,Tail_base_movement_M1_mean_5 Importance,0.0
283,Tail_base_movement_M1_sum_5 Importance,0.0
284,Tail_base_movement_M1_median_6 Importance,0.0
285,Tail_base_movement_M1_mean_6 Importance,0.0
286,Tail_base_movement_M1_sum_6 Importance,0.0
287,Tail_base_movement_M1_median_7.5 Importance,0.0
288,Tail_base_movement_M1_mean_7.5 Importance,0.0
289,Tail_base_movement_M1_sum_7.5 Importance,0.0
290,Tail_base_movement_M1_median_15 Importance,0.0
291,Tail_base_movement_M1_mean_15 Importance,0.0
292,Tail_base_movement_M1_sum_15 Importance,0.0
293,Tail_base_movement_M2_sum_5 Importance,0.0
294,Tail_base_movement_M2_median_7.5 Importance,0.0
295,Tail_base_movement_M2_median_15 Importance,0.0
296,Tail_base_movement_M2_mean_15 Importance,0.0
297,Tail_base_movement_M2_sum_15 Importance,0.0
298,Centroid_movement_M1_median_2 Importance,0.0
299,Centroid_movement_M1_mean_2 Importance,0.0
300,Centroid_movement_M1_sum_2 Importance,0.0
301,Centroid_movement_M1_median_5 Importance,0.0
302,Centroid_movement_M1_mean_5 Importance,0.0
303,Centroid_movement_M1_sum_5 Importance,0.0
304,Centroid_movement_M1_median_6 Importance,0.0
305,Centroid_movement_M1_mean_6 Importance,0.0
306,Centroid_movement_M1_sum_6 Importance,0.0
307,Centroid_movement_M1_median_7.5 Importance,0.0
308,Centroid_movement_M1_mean_7.5 Importance,0.0
309,Centroid_movement_M1_sum_7.5 Importance,0.0
310,Centroid_movement_M1_median_15 Importance,0.0
311,Centroid_movement_M1_mean_15 Importance,0.0
312,Centroid_movement_M1_sum_15 Importance,0.0
313,Centroid_movement_M2_median_15 Importance,0.0
314,Centroid_movement_M2_mean_15 Importance,0.0
315,Nose_movement_M1_median_2 Importance,0.0
316,Nose_movement_M1_median_5 Importance,0.0
317,Nose_movement_M1_mean_5 Importance,0.0
318,Nose_movement_M1_sum_5 Importance,0.0
319,Nose_movement_M1_median_6 Importance,0.0
320,Nose_movement_M1_mean_6 Importance,0.0
321,Nose_movement_M1_sum_6 Importance,0.0
322,Nose_movement_M1_median_7.5 Importance,0.0
323,Nose_movement_M1_mean_7.5 Importance,0.0
324,Nose_movement_M1_sum_7.5 Importance,0.0
325,Nose_movement_M1_median_15 Importance,0.0
326,Nose_movement_M1_mean_15 Importance,0.0
327,Nose_movement_M1_sum_15 Importance,0.0
328,Nose_movement_M2_median_2 Importance,0.0
329,Nose_movement_M2_median_5 Importance,0.0
330,Nose_movement_M2_mean_5 Importance,0.0
331,Nose_movement_M2_sum_5 Importance,0.0
332,Nose_movement_M2_median_6 Importance,0.0
333,Nose_movement_M2_mean_6 Importance,0.0
334,Nose_movement_M2_sum_6 Importance,0.0
